Date,Open Price,High Price,Low Price,Close Price,WAP,No.of Shares,No. of Trades,Total Turnover (Rs.),Deliverable Quantity,% Deli. Qty to Traded Qty,Spread High-Low,Spread Close-Open,
18-Oct-13,329.5,339.95,327.575,338.2,671.132973,312319,8035,209607579,174585,55.9,24.75,17.4,
21-Oct-13,338,339.575,331.5,335.3,670.1109914,179068,4634,119995435,58948,32.92,16.15,-5.4,
22-Oct-13,336.5,337.15,332.55,334.375,668.7300768,205577,3610,137475523,112694,54.82,9.2,-4.25,
23-Oct-13,334,334.125,326.85,330.025,660.5743121,145158,4058,95887646,66778,46,14.55,-7.95,
24-Oct-13,329.5,337.6,329.475,334.45,670.7914442,191450,4318,128423022,114368,59.74,16.25,9.9,
25-Oct-13,331.5,337.5,331.5,336.3,669.2561697,118968,2550,79620068,63308,53.21,12,9.6,
28-Oct-13,335.05,337.55,333,333.8,671.3730988,111311,3962,74731211,57051,51.25,9.1,-2.5,
29-Oct-13,334,344,327.5,343.2,678.4647895,272717,7167,185028882,125264,45.93,33,18.4,
30-Oct-13,343,343.65,338.05,339.925,682.9527236,142185,3139,97105633,46109,32.43,11.2,-6.15,
31-Oct-13,340,341.45,336.925,339.725,677.7625133,203923,3672,138211365,98815,48.46,9.05,-0.55,
1-Nov-13,339.725,344,339.1,341.75,682.0988034,173749,5002,118513985,62907,36.21,9.8,4.05,
3-Nov-13,342,343.5,338.675,340.275,680.8015865,29625,1168,20168747,12065,40.73,9.65,-3.45,
5-Nov-13,340.5,342.75,336.75,338.2,679.2678587,114650,2786,77878060,51924,45.29,12,-4.6,
6-Nov-13,337,339,332.5,334.025,669.3045677,71173,1897,47636414,19369,27.21,13,-5.95,
7-Nov-13,334.5,338.55,330.775,332.675,672.7424832,166560,3037,112051988,99336,59.64,15.55,-3.65,
8-Nov-13,333.5,334,322.375,326.45,654.1997716,146252,4503,95678025,83794,57.29,23.25,-14.1,
11-Nov-13,324.75,330,317.375,326.95,649.8593672,118045,4280,76712649,36002,30.5,25.25,4.4,
12-Nov-13,327.675,331.3,321.8,322.975,653.7497452,88314,2624,57735255,46710,52.89,19,-9.4,
13-Nov-13,321.5,322.25,314.525,317.075,637.3144393,104195,3692,66404978,27814,26.69,15.45,-8.85,
14-Nov-13,319.3,324.9,319.3,320.95,644.3071505,97545,3198,62848941,36032,36.94,11.2,3.3,
18-Nov-13,324.75,334.975,323.275,334.275,659.1663488,406351,8339,267852905,336261,82.75,23.4,19.05,
19-Nov-13,333.75,334.5,329.025,329.975,660.7614602,111931,2291,73959691,77369,69.12,10.95,-7.55,
20-Nov-13,327.05,329.65,323.3,324.85,653.762268,71976,2833,47055193,37590,52.23,12.7,-4.4,
21-Nov-13,324.5,324.5,317.5,318.825,640.8910479,131333,8127,84170144,49894,37.99,14,-11.35,
22-Nov-13,320,323.375,317.75,321.175,641.8910752,69066,2773,44332849,22628,32.76,11.25,2.35,
25-Nov-13,322,330.5,322,329.725,654.5891576,403510,8258,264133271,278978,69.14,17,15.45,
26-Nov-13,327.75,329.525,324.125,326.075,654.028507,385625,6231,252209743,214933,55.74,10.8,-3.35,
27-Nov-13,325.5,329.25,322.15,326.95,651.2830513,48818,1993,31794336,11597,23.76,14.2,2.9,
28-Nov-13,328,331.475,324.425,326.725,657.5598617,67397,1992,44317562,30707,45.56,14.1,-2.55,
29-Nov-13,326.5,334.4,326.5,330.6,662.6933102,71587,1933,47440226,39162,54.71,15.8,8.2,
2-Dec-13,330.5,332.5,329.5,330.525,661.1497594,244432,3174,161606158,158862,64.99,6,0.05,
3-Dec-13,327.5,331,326.525,328.575,657.1363856,357347,5085,234825716,180509,50.51,8.95,2.15,
