Date,Open Price,High Price,Low Price,Close Price,WAP,No.of Shares,No. of Trades,Total Turnover (Rs.),Deliverable Quantity,% Deli. Qty to Traded Qty,Spread High-Low,Spread Close-Open
28-Feb-14,405.975,407,397,399.625,800.5860435,329037,14616,263422430,114250,34.72,20,-12.7
3-Mar-14,400,403,399,401.75,802.8427517,245230,10675,196881128,77370,31.55,8,3.5
4-Mar-14,402,408.275,401.5,407.3,811.7909791,287177,9991,233127698,115467,40.21,13.55,10.6
5-Mar-14,407.95,408.925,402.5,403.45,809.8055676,193440,10523,156648789,72342,37.4,12.85,-9
6-Mar-14,404.675,412.2,404.675,411,818.2528398,256000,12331,209472727,93006,36.33,15.05,12.65
7-Mar-14,412.5,436.9,412.5,434.5,855.8189142,792232,36351,678007130,342605,43.25,48.8,44
10-Mar-14,432.35,451.2,431.5,442.9,890.6452582,924275,31686,823201146,440100,47.62,39.4,21.1
11-Mar-14,442.35,443.95,436.3,437.475,878.7595212,264306,11305,232261414,58531,22.15,15.3,-9.75
12-Mar-14,436.575,441.175,433.55,435.575,873.6215075,197819,8984,172818933,52485,26.53,15.25,-2
13-Mar-14,437.025,447.4,436.95,439.55,886.9250465,562055,26661,498500657,318456,56.66,20.9,5.05
14-Mar-14,436,444.95,434.875,443.05,880.0108609,240035,9797,211233407,72765,30.31,20.15,14.1
18-Mar-14,445,454.4,444.4,447.675,900.7644129,501653,19949,451871170,174985,34.88,20,5.35
19-Mar-14,449.5,454.95,447.775,451.075,902.2062727,283164,12903,255472337,82934,29.29,14.35,3.15
20-Mar-14,451.3,453.35,449,452.85,904.722743,276617,9759,250261691,119708,43.28,8.7,3.1
21-Mar-14,453.125,456.85,441.275,442.875,894.5939221,335182,14624,299851780,99963,29.82,31.15,-20.5
22-Mar-14,443.675,445.5,442,444.15,887.2723112,29279,1288,25978446,9597,32.78,7,0.95
24-Mar-14,446,454,446,452.3,902.803888,352885,14510,318585950,150242,42.58,16,12.6
25-Mar-14,439.5,441.475,436.3,439.325,878.7819233,560413,14431,492480814,331640,59.18,10.35,-0.35
26-Mar-14,440.9,451.325,440.9,445.1,891.632899,368133,15068,328239494,128730,34.97,20.85,8.4
27-Mar-14,447.5,452.225,446.375,451.075,901.7709422,1072201,10170,966879706,769310,71.75,11.7,7.15
28-Mar-14,449.8,459.65,449.8,457.075,913.8203077,484239,17752,442507432,195585,40.39,19.7,14.55
31-Mar-14,458.625,469.65,457.05,464.75,924.3787188,407524,17255,376706513,184341,45.23,25.2,12.25
1-April-2014,467.525,472.175,465.05,470.575,937.0713478,497647,16893,466330745,199092,40.01,14.25,6.1
2-April-2014,472.5,479.9,469.275,478.475,953.2960389,499556,19138,476224756,186256,37.28,21.25,11.95
3-April-2014,477.8,481.1,470.375,475.975,951.6152945,245107,11632,233247570,88185,35.98,21.45,-3.65
4-April-2014,475.075,476.3,471.05,472.1,945.8308762,241610,11520,228522198,89227,36.93,10.5,-5.95
7-April-2014,472,477.45,467.45,472.025,942.064648,105680,8684,99557392,31820,15.05,20,0.05
9-April-2014,468.4,482.425,468.4,480.55,954.0761613,264649,14096,252495302,127127,24.02,28.05,24.3
10-April-2014,480.6,486.45,480.6,484.4,968.0150228,614665,19359,595004954,423241,68.86,11.7,7.6
11-April-2014,483.4,485.3,475.15,476.425,958.6079768,265219,15478,254241049,94666,35.69,20.3,-13.95
15-April-2014,476.875,476.875,468.475,474.25,944.1515569,971549,12439,917289501,828363,85.26,16.8,-5.25
16-April-2014,470.1,479.5,469.1,470.525,949.3147214,225536,15067,214104645,86204,38.22,20.8,0.85
17-April-2014,472.5,481.4,472.2,479.375,955.2906851,354067,16514,338236907,221430,62.54,18.4,13.75
21-April-2014,484.075,485,478,479.725,960.5405866,499487,24616,479777536,272663,54.59,14,-8.7
22-April-2014,480,494.45,478.45,484.175,974.6060326,638261,32046,622053021,218371,34.21,32,8.35
23-April-2014,485,488.45,482.5,483.425,970.7090507,299956,14502,291170004,99554,33.19,11.9,-3.15
25-April-2014,483.625,484,472.5,473.7,951.5560638,238728,17431,227163076,94377,39.53,23,-19.85
28-April-2014,473.95,477.7,471.075,472.675,950.2115943,126355,7993,120063986,42924,33.97,13.25,-2.55
29-April-2014,474,475.9,469.175,470.15,942.5495617,215499,11735,203118488,84541,39.23,13.45,-7.7
30-April-2014,472.5,480,465,467.65,947.6006319,257319,16699,243835647,76574,29.76,30,-9.7
2-May-14,470.5,473.65,462.75,464.15,933.6328581,177539,14899,165756244,65114,36.68,21.8,-12.7
5-May-14,465,478.825,462.5,472.6,948.4760589,383232,21726,363486377,117576,30.68,32.65,15.2
6-May-14,474,483.5,474,481.625,958.8757161,676041,19281,648239298,462936,68.48,19,15.25
7-May-14,481,485.5,478.5,480.375,964.3132894,421824,16920,406770489,211045,50.03,14,-1.25
8-May-14,481.075,484.975,475.475,479.825,962.0331993,446696,14899,429736382,98389,22.03,19,-2.5
9-May-14,478.95,499.5,478.35,498.675,986.4728556,656987,41765,648099842,295660,45,42.3,39.45
12-May-14,498.725,524,497.5,514.475,1028.336614,1003419,55750,1031852497,383025,38.17,53,31.5
13-May-14,518.55,532.95,516.425,530.675,1048.178374,1005312,50707,1053746298,399040,39.69,33.05,24.25
14-May-14,531.35,533.5,520.775,522.775,1051.241972,465719,25310,489583360,190420,40.89,25.45,-17.15
15-May-14,522.5,529.425,520,526.6,1049.87606,487277,23850,511580457,203155,41.69,18.85,8.2
16-May-14,540.575,571.25,531.5,540.25,1107.74164,2062948,117824,2285213400,815834,39.55,79.5,-0.65
19-May-14,543,562.2,543,560.125,1108.09314,549611,32819,609020179,224646,40.87,38.4,34.25
20-May-14,562.5,565,537.5,539.25,1090.790671,547984,35731,597735835,266515,48.64,55,-46.5
21-May-14,540,551.325,537,539.05,1083.568136,419241,25928,454276189,157106,37.47,28.65,-1.9
22-May-14,542.95,556.75,542.5,550.65,1101.436558,397029,24900,437302255,144944,36.51,28.5,15.4
23-May-14,554.5,565.5,551,563.925,1117.922706,370212,23045,413868401,152654,41.23,29,18.85
26-May-14,567.5,570,538.025,550.5,1118.60179,420263,25355,470106944,131811,31.36,63.95,-34
27-May-14,552.5,553,538.025,543.875,1084.46454,284460,21958,308486783,106518,37.45,29.95,-17.25
28-May-14,546.2,553,542.475,544.275,1093.036933,227221,18295,248360945,62688,27.59,21.05,-3.85
29-May-14,545.075,546.95,534.575,536.525,1077.375267,210514,14991,226802577,81318,38.63,24.75,-17.1
30-May-14,541.575,544.8,531,532.575,1076.029508,221332,14822,238159763,67128,30.33,27.6,-18
2-Jun-14,536.575,543.95,532.775,541.175,1078.35888,195238,13331,210536631,52361,26.82,22.35,9.2
3-Jun-14,543,550.95,538.825,547.375,1091.206152,242467,17690,264581482,69649,28.73,24.25,8.75
4-Jun-14,548,550.75,537.9,538.95,1087.099827,275837,17721,299862355,98275,35.63,25.7,-18.1
5-Jun-14,540.425,547.35,532.075,543.8,1079.107228,410266,23198,442721006,123782,30.17,30.55,6.75
6-Jun-14,555,566.4,552.5,559.925,1118.800709,743665,37903,832012929,218724,29.41,27.8,9.85
9-Jun-14,564.575,566.05,556.55,561.3,1120.358685,376007,19273,421262708,117383,31.22,19,-6.55
10-Jun-14,563.325,564.075,550.5,558.925,1112.585535,304537,18158,338823461,105132,34.52,27.15,-8.8
11-Jun-14,557.8,559.5,546.625,550.775,1104.181969,351978,19808,388647761,117540,33.39,25.75,-14.05
12-Jun-14,549.8,556.475,543.025,547.3,1100.199991,287988,18657,316844395,79005,27.43,26.9,-5
13-Jun-14,550.75,553.475,536.2,540.975,1087.309361,305472,18862,332142565,106307,34.8,34.55,-19.55
16-Jun-14,541.05,542.5,529.5,532.25,1067.014339,308534,21552,329210202,93969,30.46,26,-17.6
17-Jun-14,529.85,547.325,529,544.95,1073.775525,355737,24063,381981684,99604,28,36.65,30.2
18-Jun-14,547.5,550.975,530.775,533.4,1083.505351,732455,49484,793618912,204233,27.88,40.4,-28.2
19-Jun-14,535.625,538,515.925,520.7,1048.387944,700024,45124,733896722,216143,30.88,44.15,-29.85
20-Jun-14,523,524.85,517.6,518.925,1041.997749,319437,20951,332852635,81672,25.57,14.5,-8.15
23-Jun-14,515.075,522.55,512.2,519.35,1033.711613,422613,23431,436859966,138149,32.69,20.7,8.55
24-Jun-14,523,531.35,523,529.825,1055.526897,311285,23021,328569690,91407,29.36,16.7,13.65
25-Jun-14,529.3,530,524.3,525.4,1052.843912,227615,13849,239643067,86215,37.88,11.4,-7.8
26-Jun-14,513,513.4,504.05,505.975,1017.993296,611254,40065,622252474,223989,36.64,18.7,-14.05
27-Jun-14,505.35,511.5,503.825,506.525,1014.034849,260952,16682,264614422,64128,24.57,15.35,2.35
30-Jun-14,506.6,509.7,500.05,507.35,1011.148961,489753,30707,495213237,121416,24.79,19.3,1.5
1-Jul-14,508,510.5,503.05,504,1011.649313,324423,17256,328202305,111296,34.31,14.9,-8
2-Jul-14,509,513.2,505.95,509.1,1018.789338,375278,19276,382329225,139560,37.19,14.5,0.2
3-Jul-14,509.5,511.5,488.5,503.55,1007.692512,114697,6911,115579308,48717,42.47,46,-11.9
4-Jul-14,504.4,518.4,502.075,515.975,1020.253584,391069,22449,398989549,119664,30.6,32.65,23.15
7-Jul-14,517.45,518.5,510.275,513.2,1026.745772,306674,18619,314876233,108807,35.48,16.45,-8.5
8-Jul-14,513.5,517.225,495.5,497.575,1011.089559,581884,28369,588336837,289996,49.84,43.45,-31.85
9-Jul-14,499.75,504.7,496.525,500.025,1001.240314,373720,20509,374183530,139785,37.4,16.35,0.55
10-Jul-14,500,510.375,491,499.1,1001.331334,569660,35725,570418408,97862,17.18,38.75,-1.8
11-Jul-14,498.8,500.725,481.925,483.5,977.2581724,607230,37554,593420480,277522,45.7,37.6,-30.6
14-Jul-14,485,487.85,479.5,480.925,968.0104525,325760,22977,315339085,119591,36.71,16.7,-8.15
15-Jul-14,483.8,489.95,481.5,486.1,970.7918108,313436,18163,304281102,96559,30.81,16.9,4.6
16-Jul-14,487.7,495.75,487.5,494.525,984.7447593,290659,17515,286224927,75814,26.08,16.5,13.65
17-Jul-14,494.5,498.75,490.1,491.175,986.1523656,230426,16201,227235145,85692,37.19,17.3,-6.65
18-Jul-14,491,492,485.1,488.35,977.88334,239988,13600,234680267,82508,34.38,13.8,-5.3
21-Jul-14,500,503.875,497.5,498.675,1001.539927,427241,24584,427898920,154351,36.13,12.75,-2.65
22-Jul-14,502.4,517,500.525,515.4,1023.66979,616584,35668,631178414,232907,37.77,32.95,26
23-Jul-14,517.675,519.575,510.125,516.525,1031.090931,322420,24440,332444338,101011,31.33,18.9,-2.3
24-Jul-14,515,521.25,512,520.375,1035.263468,305233,18798,315996574,115824,37.95,18.5,10.75
25-Jul-14,520,520.925,504,510.875,1022.379789,312250,21377,319238089,83836,26.85,33.85,-18.25
28-Jul-14,511.9,511.9,501.125,502.65,1007.874696,252394,13159,254381526,131288,52.02,21.55,-18.5
30-Jul-14,503.1,505.5,496.5,502.75,1002.500011,260932,15482,261584333,96165,36.85,18,-0.7
31-Jul-14,504.5,509.65,501.3,503,1011.306533,230928,13731,233538995,85303,36.94,16.7,-3
1-Aug-14,499.2,499.65,488.5,489.225,987.50268,411936,26560,406787904,150635,36.57,22.3,-19.95
4-Aug-14,490.8,494.7,488.425,492.6,982.7529884,226378,15005,222473656,64526,28.5,12.55,3.6
5-Aug-14,493,493.6,485.8,491.8,979.3066999,339886,19855,332852637,146113,42.99,15.6,-2.4
6-Aug-14,492.6,498.925,490,493.875,989.5839887,281413,16708,278481799,73316,26.05,17.85,2.55
7-Aug-14,494.5,498.25,492,494.675,989.2664891,343166,13000,339482624,173497,50.56,12.5,0.35
8-Aug-14,490.3,491.85,486.55,490.2,978.42949,376351,15810,368232917,202787,53.88,10.6,-0.2
11-Aug-14,492,493.725,489.275,490.325,981.5960112,299741,9377,294224570,172932,57.69,8.9,-3.35
12-Aug-14,491.5,493,488.1,492.25,981.4604609,160120,9602,157151449,63716,39.79,9.8,1.5
13-Aug-14,491.975,498.25,490.425,495,987.4710209,352167,14481,347754707,182854,51.92,15.65,6.05
14-Aug-14,496.175,502.15,496,500.95,997.8813472,225355,14882,224877551,76994,34.17,12.3,9.55
18-Aug-14,500,507.5,499.05,506.625,1009.921895,181870,11311,183674495,62414,34.32,16.9,13.25
19-Aug-14,508.2,511.625,503.125,504.35,1012.944066,183861,12408,186240909,62233,33.85,17,-7.7
20-Aug-14,505.675,509.2,497.575,499.1,1006.265462,479714,13975,482719630,341856,71.26,23.25,-13.15
21-Aug-14,500,501.875,495.5,497.425,997.2451133,250427,15028,249737102,89669,35.81,12.75,-5.15
22-Aug-14,499.325,503.4,497.7,499,1000.537341,144452,10156,144529620,53695,37.17,11.4,-0.65
25-Aug-14,500,504.3,497,498.175,1002.059949,177533,10984,177898709,61162,34.45,14.6,-3.65
26-Aug-14,498,498.6,492.125,497.025,989.5828126,445035,15698,440398987,228214,51.28,12.95,-1.95
27-Aug-14,499.4,501,494,497.175,992.8385367,197147,10978,195735139,69836,35.42,14,-4.45
28-Aug-14,497.5,501.475,497.25,499.625,999.4175919,197341,10236,197226067,80542,40.81,8.45,4.25
1-Sep-14,501.575,510.3,498.15,507.075,1011.248666,354073,19155,358055849,130113,36.75,24.3,11
2-Sep-14,508.175,515.75,505.575,511.95,1021.122175,310537,19369,317096217,110696,35.65,20.35,7.55
3-Sep-14,513.5,517.45,510.5,515.475,1029.231046,345680,18705,355784588,100781,29.15,13.9,3.95
4-Sep-14,514.7,516.775,509.025,512.05,1024.939269,180369,10738,184867271,47139,26.13,15.5,-5.3
5-Sep-14,511.675,516.675,510.4,512.6,1025.983198,193489,11998,198516463,63915,33.03,12.55,1.85
8-Sep-14,515.275,519.5,499.5,518.725,1029.874033,335716,14908,345745191,106533,31.73,40,6.9
9-Sep-14,517.9,524.95,514.25,516.65,1035.00422,187659,11945,194227857,54294,28.93,21.4,-2.5
10-Sep-14,515,515,506.55,508,1020.168363,157636,9556,160815260,59146,37.52,16.9,-14
11-Sep-14,510.25,511.1,504,509.375,1017.137788,151254,13859,153846159,52784,34.9,14.2,-1.75
12-Sep-14,509,512.05,506,507.85,1016.0865,184960,9642,187935359,61880,33.46,12.1,-2.3
15-Sep-14,504.95,505.575,500.5,501.425,1005.530727,166076,11096,166994521,89462,53.87,10.15,-7.05
16-Sep-14,501.2,502.25,489,490.225,989.9940279,338742,16118,335352557,153549,45.33,26.5,-21.95
17-Sep-14,492.85,495,490,494,985.6127936,143040,11686,140982054,38023,26.58,10,2.3
18-Sep-14,493.5,504.5,491.6,502.25,1000.913071,204927,10908,205114113,67460,32.92,25.8,17.5
19-Sep-14,502.875,507.625,495.5,497.3,1002.088642,232723,12531,233209075,65507,28.15,24.25,-11.15
22-Sep-14,497,498,493.925,495.55,992.0374523,230827,10644,228989029,124575,53.97,8.15,-2.9
23-Sep-14,495.85,497.475,481.5,483.05,977.0175279,379681,21325,370954992,174732,46.02,31.95,-25.6
24-Sep-14,487,487,478.125,482.45,967.1795652,389903,20775,377106214,125690,32.24,17.75,-9.1
25-Sep-14,482.7,485,461.5,464.7,940.861778,550817,27285,518242662,216092,39.23,47,-36
26-Sep-14,464.75,470.7,459.05,466.8,929.7536009,566670,28079,526863473,180862,31.92,23.3,4.1
29-Sep-14,469.2,471.3,464.875,466.375,936.6096247,340521,19085,318935246,104180,30.59,12.85,-5.65
30-Sep-14,465,474.125,462.6,472.675,937.3344233,464546,18244,435434957,87189,18.77,23.05,15.35
1-Oct-14,472.4,472.55,462.875,463.4,932.984723,242980,15022,226696628,65940,27.14,19.35,-18
7-Oct-14,464.45,467.45,461.85,463.325,928.6620107,303341,12245,281701263,161663,53.29,11.2,-2.25
8-Oct-14,461.8,471,461.05,468.575,936.042979,347379,14753,325161674,129940,37.41,19.9,13.55
9-Oct-14,470.2,478.6,470,477.325,951.135139,329224,16857,313136515,173538,52.71,17.2,14.25
10-Oct-14,474.45,484.175,468.475,480.15,953.5536182,426404,17894,406599077,133228,31.24,31.4,11.4
13-Oct-14,480.5,482,474.4,478.925,956.9961977,337956,18317,323422607,96614,28.59,15.2,-3.15
14-Oct-14,489.9,490,479.575,480.55,967.0733678,408844,24590,395382144,93216,22.8,20.85,-18.7
16-Oct-14,477.3,478.4,464.225,466.175,943.017939,746585,28978,704043048,373045,49.97,28.35,-22.25
17-Oct-14,467.5,470.5,462.8,469.075,935.1253644,328961,16278,307619775,125046,38.01,15.4,3.15
20-Oct-14,468.775,470.9,456.375,467.25,932.7500651,652730,30242,608833950,251528,38.53,29.05,-3.05
21-Oct-14,468.05,468.5,463.55,464.575,930.5223836,675337,20080,628416195,396279,58.68,9.9,-6.95
22-Oct-14,468.35,475.45,466.825,472.975,945.2821025,297438,14942,281162818,92436,31.08,17.25,9.25
23-Oct-14,474.5,477.25,474.5,476.475,952.1090795,108618,6942,103416184,46655,42.95,5.5,3.95
27-Oct-14,479.6,480.45,468.825,470.85,944.3493097,441903,12565,417310793,281477,63.7,23.25,-17.5
28-Oct-14,472,472,463.5,467.025,932.4191004,320360,16344,298709783,137741,43,17,-9.95
29-Oct-14,469,476.2,467,475.65,946.5075652,339976,11635,321789856,167882,49.38,18.4,13.3
30-Oct-14,474.2,490.725,474.15,489.65,968.4713173,516949,21801,500650279,253736,49.08,33.15,30.9
31-Oct-14,491,501.35,490.95,499.6,994.6136906,448775,22382,446357759,169330,37.73,20.8,17.2
3-Nov-14,501,504.25,495.275,500.6,1001.338163,312737,14272,313155493,101758,32.54,17.95,-0.8
5-Nov-14,500.6,504,494,495.675,998.064168,347541,18759,346868219,114599,32.97,20,-9.85
7-Nov-14,495.5,497.75,489.25,490.45,983.9280603,206131,12985,202818075,73248,35.53,17,-10.1
10-Nov-14,491.175,494.55,484.05,484.75,976.6783975,221127,11487,215969964,86121,38.95,21,-12.85
11-Nov-14,486.2,493.6,483.5,488.875,977.6729223,250283,13785,244694912,70031,27.98,20.2,5.35
12-Nov-14,491,492,485,486.95,975.171495,202968,11121,197928608,50762,25.01,14,-8.1
13-Nov-14,487.85,489.9,482.075,484.375,971.1668707,254053,10764,246727857,72665,28.6,15.65,-6.95
14-Nov-14,485.025,488.75,482.5,484.575,971.3077123,222877,11137,216482149,86662,38.88,12.5,-0.9
17-Nov-14,484.5,492.5,483.475,491.675,977.2647832,194004,11171,189593277,60469,31.17,18.05,14.35
18-Nov-14,493.175,498.75,492.75,493.875,991.711311,222641,12828,220795598,80709,36.25,12,1.4
19-Nov-14,493.875,495.9,488.125,488.9,982.5023227,128947,8710,126690727,39649,30.75,15.55,-9.95
20-Nov-14,488.9,491.45,485.1,490.2,976.2696572,146371,8947,142897566,46748,31.94,12.7,2.6
21-Nov-14,490.45,499.95,490,498.725,993.3357741,330633,17236,328429587,134545,40.69,19.9,16.55
24-Nov-14,500,501.575,491,492.3,986.8423412,240475,10659,237310912,96659,40.2,21.15,-15.4
25-Nov-14,492.5,497.45,487,496.175,983.8767473,411139,16287,404510102,169795,41.3,20.9,7.35
26-Nov-14,496.5,496.5,491.25,493.675,987.3456028,231957,9631,229021724,86586,37.33,10.5,-5.65
27-Nov-14,495,496.475,491.625,493.575,987.8416625,121260,6823,119785680,37225,30.7,9.7,-2.85
28-Nov-14,494.625,508.1,491.775,495.425,1001.472311,686126,29132,687136191,235805,34.37,32.65,1.6
1-Dec-14,494.7,495.85,479.6,480.875,970.7944679,358056,17607,347598784,124755,34.84,32.5,-27.65
2-Dec-14,482.2,485.45,479.175,481.25,963.3590866,271500,13751,261551992,63991,23.57,12.55,-1.9
3-Dec-14,480.45,486.8,480.45,483.1,967.3738062,287427,12605,278049351,111788,38.89,12.7,5.3
4-Dec-14,484.175,487.175,478.05,479.275,964.0731493,200289,11404,193093247,71832,35.86,18.25,-9.8
5-Dec-14,480.5,483.4,477.75,478.85,960.9161354,267932,12724,257460182,82709,30.87,11.3,-3.3
8-Dec-14,481.15,481.45,471.3,472.525,952.7589836,241942,12601,230512414,81836,33.82,20.3,-17.25
9-Dec-14,471.2,475.025,465.7,469.65,940.7732203,274350,16099,258101133,90402,32.95,18.65,-3.1
10-Dec-14,466,470.45,465,466.025,934.6978809,232415,12554,217237808,84068,36.17,10.9,0.05
11-Dec-14,465,465,451.6,453.15,914.3964009,591530,34120,540892903,224886,38.02,26.8,-23.7
12-Dec-14,454,455.725,440.425,441.775,892.2050254,773309,27536,689950176,383622,49.61,30.6,-24.45
15-Dec-14,438.1,440.45,436.2,439.225,877.2446324,444704,15905,390114197,186126,41.85,8.5,2.25
16-Dec-14,437.75,441.5,429.975,432.05,871.5773077,924850,24025,806078273,520664,56.3,23.05,-11.4
17-Dec-14,433.4,437.475,432.275,434.975,870.6247414,696533,22878,606418863,296354,42.55,10.4,3.15
18-Dec-14,440,442.625,432.625,440.125,877.5976319,534436,19207,469019768,246878,46.19,20,0.25
19-Dec-14,443.4,454.3,441.2,450.075,899.4376533,475639,19452,427807626,198022,41.63,26.2,13.35
22-Dec-14,451.6,453.225,445.525,452.25,897.9165336,214829,10477,192898511,85132,39.63,15.4,1.3
23-Dec-14,451.7,451.975,446.025,446.95,896.6104618,276109,12684,247562218,166573,60.33,11.9,-9.5
24-Dec-14,447.5,448.3,440.825,443.4,889.5654668,671806,15282,597615418,402381,59.9,14.95,-8.2
26-Dec-14,443.9,446.35,440.125,444.5,885.6585795,245823,10623,217715249,83804,34.09,12.45,1.2
29-Dec-14,444.25,450.25,443.3,448.5,895.8584074,403990,12344,361917838,232801,57.63,13.9,8.5
30-Dec-14,449.2,449.25,438.825,440.3,881.9492923,439874,14392,387946563,242588,55.15,20.85,-17.8
31-Dec-14,440.125,446.9,439.775,445.575,888.8581614,328465,8506,291958796,201017,61.2,14.25,10.9
1-Jan-15,442.75,446.075,442.1,444.025,887.9179582,181432,7338,161096731,97186,53.57,7.95,2.55
2-Jan-15,444.4,448,442,442.8,889.8755228,260835,9740,232110682,118820,45.55,12,-3.2
5-Jan-15,442.775,445.45,437.65,438.55,882.7596658,328788,19270,290240785,124228,37.78,15.6,-8.45
6-Jan-15,436,436,416.05,418.05,848.3671631,975422,39864,827515995,469959,48.18,39.9,-35.9
7-Jan-15,419.35,429.4,418.6,427.7,850.7321676,660342,26226,561774181,332860,50.41,21.6,16.7
8-Jan-15,429.925,431.475,420.85,421.425,845.6894049,787134,24450,665670884,473301,60.13,21.25,-17
9-Jan-15,423.075,431.25,422.55,430.225,852.014714,510671,20043,435099206,259031,50.72,17.4,14.3
12-Jan-15,431.25,431.5,421.175,425.275,846.9295916,503008,16807,426012360,256599,51.01,20.65,-11.95
13-Jan-15,426.375,427.225,420.325,421.525,844.716737,426946,12635,360648432,201483,47.19,13.8,-9.7
14-Jan-15,421.55,423.45,415.55,417.525,835.2007448,669183,17722,558902140,407411,60.88,15.8,-8.05
15-Jan-15,420.625,435.1,420.55,432.3,857.3219252,574183,22637,492259675,235278,40.98,29.1,23.35
16-Jan-15,430.5,437.025,426.075,434.5,866.3351797,394114,18515,341434823,118030,29.95,21.9,8
19-Jan-15,435,442.875,429.525,439.925,876.9500827,460462,20417,403802189,115616,25.11,26.7,9.85
20-Jan-15,441.4,451.875,439.3,450.575,893.9106221,397727,20319,355532390,102967,25.89,25.15,18.35
21-Jan-15,452,454.6,446.15,452.325,902.9223518,358347,20303,323559516,92453,25.8,16.9,0.65
22-Jan-15,452.6,453.475,439.675,442.05,888.9485936,425122,16826,377911604,236903,55.73,27.6,-21.1
23-Jan-15,445,448.45,438.725,443.475,887.5434606,405448,17925,359852721,138150,34.07,19.45,-3.05
27-Jan-15,445.1,448.45,440.45,444.375,888.779595,360069,17768,320021980,171247,47.56,16,-1.45
28-Jan-15,442.55,454.875,442.5,452.925,896.783527,398082,19173,356993380,149781,37.63,24.75,20.75
29-Jan-15,453,467.125,451,463.95,925.6908242,550069,29739,509193826,156669,28.48,32.25,21.9
30-Jan-15,465.025,466,455,457.675,918.9262682,242053,11875,222428860,51537,21.29,22,-14.7
2-Feb-15,457.575,459.675,453,453.95,913.8065843,845402,10538,772533914,608508,71.98,13.35,-7.25
3-Feb-15,456.25,470.1,455.65,468.725,929.5347557,432764,21279,402269179,110600,25.56,28.9,24.95
4-Feb-15,469.7,471.55,462.85,464.35,936.2515796,399472,17033,374006291,116360,29.13,17.4,-10.7
5-Feb-15,466.25,469.3,459.075,461.175,928.8769157,333040,15156,309353168,69392,20.84,20.45,-10.15
6-Feb-15,462.85,465.075,452,455.225,917.111185,302154,16341,277108813,76167,25.21,26.15,-15.25
9-Feb-15,451.5,457.85,445.975,448.65,905.7090599,441242,19104,399636877,137197,31.09,23.75,-5.7
10-Feb-15,446,452.5,431.2,441.35,887.4324079,486418,20611,431663097,90298,18.56,42.6,-9.3
11-Feb-15,442.5,452.1,441.825,450.475,894.9171083,263416,12685,235735485,39842,15.13,20.55,15.95
12-Feb-15,453.175,457.5,443.65,455.225,900.7907102,315228,14910,283954454,84618,26.84,27.7,4.1
13-Feb-15,457.5,460,454.825,458.6,915.8995361,277851,12272,254483602,60741,21.86,10.35,2.2
16-Feb-15,460,461.975,450.025,451.325,910.5145451,275109,14078,250490746,116050,42.18,23.9,-17.35
18-Feb-15,450,454,447.525,450.725,901.5498676,211791,11545,190940148,55092,26.01,12.95,1.45
19-Feb-15,452.5,453.575,443.775,450.675,896.0934854,291714,15402,261403015,86195,29.55,19.6,-3.65
20-Feb-15,448.5,448.5,436,436.625,877.7590252,575890,26404,505492645,171169,29.72,25,-23.75
23-Feb-15,434.9,438.2,423.325,425.575,861.7039067,530826,22462,457414838,212155,39.97,29.75,-18.65
24-Feb-15,426.5,428.6,418.55,420.875,843.5364153,616856,28760,520340499,227090,36.81,20.1,-11.25
25-Feb-15,423.5,428.2,420.8,421.775,847.1729806,643101,23261,544817791,354296,55.09,14.8,-3.45
26-Feb-15,423.025,425,418.55,421.125,841.5608028,632989,23478,532698731,322765,50.99,12.9,-3.8
27-Feb-15,423.075,430.25,422.3,427.825,851.0935518,426181,16233,362719901,169209,39.7,15.9,9.5
28-Feb-15,430.9,434.2,423.5,433.125,859.9787587,511174,22193,439598782,81977,16.04,21.4,4.45
2-Mar-15,434.925,437.8,428.075,431.85,862.4110707,360646,14305,311025103,91735,25.44,19.45,-6.15
3-Mar-15,435,453.25,433.7,450.825,892.4188238,707794,36015,631648689,172087,24.31,39.1,31.65
4-Mar-15,452.5,454.5,440.2,443.475,895.8022628,384308,17540,344263976,85871,22.34,28.6,-18.05
5-Mar-15,445.5,449.2,439.75,442.2,887.06191,306655,14198,272021970,53155,17.33,18.9,-6.6
9-Mar-15,442,445.9,432.1,434.325,879.1992888,299199,14033,263055548,73618,24.61,27.6,-15.35
10-Mar-15,435,437.45,427.7,429.55,862.6595709,589174,24051,508256590,276885,47,19.5,-10.9
11-Mar-15,430,434.75,426.6,427.925,861.6701833,240858,13955,207540157,62774,26.06,16.3,-4.15
12-Mar-15,430,433.1,427.775,431.875,860.4606592,218285,10224,187825655,59403,27.21,10.65,3.75
13-Mar-15,434.5,434.975,423.5,425.075,855.3881165,294391,14724,251818563,86760,29.47,22.95,-18.85
16-Mar-15,427,427,420.5,421.025,843.0936584,567883,19700,478778556,356276,62.74,13,-11.95
17-Mar-15,424.075,429.9,420.5,428.425,849.6558044,588090,21757,499674082,284290,48.34,18.8,8.7
18-Mar-15,429,436.45,427.5,434.375,862.8260844,310093,15046,267556329,78736,25.39,17.9,10.75
19-Mar-15,437.5,438,426.05,428.125,865.9941035,254726,13145,220591214,68712,26.97,23.9,-18.75
20-Mar-15,428.05,430.5,424.425,427.15,855.1013033,195127,10758,166853352,55159,28.27,12.15,-1.8
23-Mar-15,428.175,431.725,419.05,421.125,846.6630081,311055,16913,263358762,141239,45.41,25.35,-14.1
