Date,Open Price,High Price,Low Price,Close Price,WAP,No.of Shares,No. of Trades,Total Turnover (Rs.),Deliverable Quantity,% Deli. Qty to Traded Qty,Spread High-Low,Spread Close-Open
23-April-2013,395.175,402.625,393.25,401.75,798.0914575,538797,13933,430009283,220071,40.84,18.75,13.15
25-April-2013,403,413.425,403,409.65,818.3662503,654708,18778,535790931,249879,38.17,20.85,13.3
26-April-2013,406.95,412.425,394.9,396.575,803.9430355,455617,14103,366290114,153743,33.74,35.05,-20.75
29-April-2013,397.5,399.5,394.5,396.3,792.2988457,599045,9393,474622662,396937,66.26,10,-2.4
30-April-2013,397.175,398.35,389,394.075,784.5710339,464440,9410,364386171,258529,55.66,18.7,-6.2
2-May-13,393.95,403.4,391.625,401.375,797.096207,474030,13847,377847515,155291,32.76,23.55,14.85
3-May-13,402,407.7,399,400.6,806.3480201,547342,15321,441348138,170203,31.1,17.4,-2.8
6-May-13,401.25,412.35,401.25,410.75,817.7821786,406310,11800,332273077,161626,39.78,22.2,19
7-May-13,411,417.825,409.7,413.55,827.1386588,355210,12763,293807923,95946,27.01,16.25,5.1
8-May-13,414.175,416.5,411,414.55,827.4465575,295308,9330,244351588,64995,22.01,11,0.75
9-May-13,415,416,407.75,409.05,819.9664805,258208,7868,211721905,83888,32.49,16.5,-11.9
10-May-13,406.775,410.25,404.5,406.05,814.7050407,249448,8387,203226543,52807,21.17,11.5,-1.45
11-May-13,406.05,407.55,406,406.65,813.4718189,20315,669,16525680,6632,32.65,3.1,1.2
13-May-13,406,412.35,399.3,401.5,812.3813792,380789,11390,309345893,94986,24.94,26.1,-9
14-May-13,400,404.45,397.75,398.85,803.1001352,268487,8601,215621946,80551,30,13.4,-2.3
15-May-13,401.75,410.125,401.175,409.4,812.9521572,369418,10695,300319160,136129,36.85,17.9,15.3
16-May-13,408.7,421.675,408,420.075,835.1522414,524207,15319,437792651,169833,32.4,27.35,22.75
17-May-13,420,422.35,411.75,417.2,832.9562596,375465,13029,312745922,138751,36.95,21.2,-5.6
20-May-13,417.575,427.4,414.275,415.45,842.075697,445434,13015,375089146,104406,23.44,26.25,-4.25
21-May-13,416,419.75,412.45,413.675,832.8426385,301713,9851,251279451,40397,13.39,14.6,-4.65
22-May-13,415.5,417.1,406.75,408.875,821.4559512,295343,8958,242611265,62757,21.25,20.7,-13.25
23-May-13,407.5,408.5,390.8,392.575,796.9701785,371812,12475,296323076,108107,29.08,35.4,-29.85
24-May-13,396.075,397.5,390,393.95,788.8926168,241453,8279,190480489,47018,19.47,15,-4.25
27-May-13,401.5,416,401.1,414.125,820.3672831,681398,20102,558996626,181598,26.65,29.8,25.25
28-May-13,415,423.45,412.75,421.575,838.6446638,648158,19447,543574248,173501,26.77,21.4,13.15
29-May-13,421.5,424.5,416.6,423.625,841.4770651,557404,12422,469042682,239046,42.89,15.8,4.25
30-May-13,423.25,423.25,415.25,417.95,837.33141,369331,9893,309252447,75842,20.53,16,-10.6
31-May-13,417.5,417.5,401,402.8,813.9322553,489972,14143,398804015,143468,29.28,33,-29.4
3-Jun-13,403.5,403.5,392.625,394.05,791.2337615,523709,13658,414376242,219334,41.88,21.75,-18.9
4-Jun-13,395.8,400.225,389.575,390.3,788.9340478,340883,10709,268934205,88989,26.11,21.3,-11
5-Jun-13,390.625,401.5,390,400.275,792.5206703,381368,12416,302242023,68342,17.92,23,19.3
6-Jun-13,400.5,401,394.1,396.15,794.8144406,716730,28930,569667354,121292,16.92,13.8,-8.7
7-Jun-13,398.475,401,391,392.3,793.9202196,364413,11616,289314849,83125,22.81,20,-12.35
