Date,Open Price,High Price,Low Price,Close Price,WAP,No.of Shares,No. of Trades,Total Turnover (Rs.),Deliverable Quantity,% Deli. Qty to Traded Qty,Spread High-Low,Spread Close-Open,
14-Jun-13,380.65,381,372.75,377.95,376.7536518,152252,2973,57361497,81601,53.6,8.25,-2.7,
17-Jun-13,380,381.9,373.7,380.15,378.5400425,60773,1530,23005014,22564,37.13,8.2,0.15,
18-Jun-13,380.9,381.9,375.55,379.75,378.4470529,81742,2020,30935019,21692,26.54,6.35,-1.15,
19-Jun-13,381,382.25,376.1,379.85,379.2911788,200461,3845,76033089,130842,65.27,6.15,-1.15,
20-Jun-13,377,382,373.8,379.15,379.3959954,162863,3457,61789570,62684,38.49,8.2,2.15,
21-Jun-13,380,382.5,374.7,381.4,380.0375188,452626,3997,172014862,374928,82.83,7.8,1.4,
24-Jun-13,383,383,372.4,380,377.2721353,193345,3431,72943681,100292,51.87,10.6,-3,
25-Jun-13,380,381.6,375.15,380.25,379.3666318,191350,2927,72591805,82112,42.91,6.45,0.25,
26-Jun-13,379.55,381.45,377,379.9,379.9358858,293258,2121,111419238,259514,88.49,4.45,0.35,
27-Jun-13,381,389.85,380.6,387.75,386.4906601,144701,3907,55925585,54862,37.91,9.25,6.75,
28-Jun-13,390,392.8,385.25,391.45,389.6207607,139851,2831,54488853,44719,31.98,7.55,1.45,
1-Jul-13,392.5,397.75,389.7,397.1,394.5322411,102726,2875,40528719,49209,47.9,8.05,4.6,
2-Jul-13,398.9,398.9,392.5,397.25,396.4470799,58730,1741,23283337,15326,26.1,6.4,-1.65,
3-Jul-13,395.2,399.7,393.15,396.95,396.9727334,94548,2348,37532978,52154,55.16,6.55,1.75,
4-Jul-13,397.3,401.8,392.7,394.6,397.0603171,102558,3069,40721712,44968,43.85,9.1,-2.7,
5-Jul-13,397,400.6,396,399.1,398.606056,72523,2219,28908107,29668,40.91,4.6,2.1,
8-Jul-13,399.1,403.3,369.25,396.6,399.4569037,88894,2871,35509322,23795,26.77,34.05,-2.5,
9-Jul-13,396,401.95,396,400.25,399.787146,76334,2024,30517352,37742,49.44,5.95,4.25,
10-Jul-13,400.15,405,398.35,400,401.9942093,86863,3090,34918423,19421,22.36,6.65,-0.15,
11-Jul-13,400.1,404.4,399.1,399.55,400.776537,85428,1915,34237538,48347,56.59,5.3,-0.55,
12-Jul-13,397.1,406.75,391,405,400.5026546,147105,4531,58915943,53243,36.19,15.75,7.9,
15-Jul-13,407,409.3,405.15,407.95,407.6072443,86578,2424,35289820,36174,41.78,4.15,0.95,
16-Jul-13,404.5,408.4,399.85,402.15,403.5454383,50442,1800,20355639,12215,24.22,8.55,-2.35,
17-Jul-13,402.55,410,399.3,406.75,404.4636495,145101,3313,58688080,63729,43.92,10.7,4.2,
18-Jul-13,407,416,407,413.15,413.5637221,225173,4339,93123384,77595,34.46,9,6.15,
19-Jul-13,410,418,408.05,414.7,414.3690054,219238,4523,90845432,91267,41.63,9.95,4.7,
22-Jul-13,414,417.65,410.1,411.15,414.4903928,44758,1530,18551761,14657,32.75,7.55,-2.85,
23-Jul-13,410,414.9,405.55,408.5,410.0241852,97539,2091,39993349,33605,34.45,9.35,-1.5,
24-Jul-13,405.5,417,405.5,415.35,412.3132427,93825,2868,38685290,45878,48.9,11.5,9.85,
25-Jul-13,415.5,419.6,405.65,409.75,413.4453821,122048,3003,50460182,29290,24,13.95,-5.75,
26-Jul-13,409.3,416.35,409.3,414.95,413.8726313,74673,2619,30905111,29798,39.9,7.05,5.65,
29-Jul-13,411.5,416.7,409,411.85,412.8760604,110570,2518,45651706,16820,15.21,7.7,0.35,
30-Jul-13,411.5,415.5,407.2,408.05,411.059856,51106,1831,21007625,13572,26.56,8.3,-3.45,
31-Jul-13,405.15,407.3,397.15,400.95,401.3799253,73117,2039,29347696,20974,28.69,10.15,-4.2,
1-Aug-13,401,408.4,396.2,403.2,403.2922707,49112,1566,19806490,8977,18.28,12.2,2.2,
2-Aug-13,404.55,405,396,399.65,399.6795223,102990,3472,41162994,47245,45.87,9,-4.9,
5-Aug-13,397.25,400,391.3,395.75,394.0111778,70318,1632,27706078,28598,40.67,8.7,-1.5,
6-Aug-13,397,397,386,391.85,390.5890024,151833,2685,59304300,84659,55.76,11,-5.15,
7-Aug-13,396.8,396.8,384.05,390.8,389.5576551,91926,3357,35810477,23972,26.08,12.75,-6,
8-Aug-13,390,414.2,381.8,410.7,395.2263242,406903,8514,160818777,168010,41.29,32.4,20.7,
12-Aug-13,426.95,428.65,413.45,415,420.7327992,328895,9467,138376914,44268,13.46,15.2,-11.95,
13-Aug-13,418.9,426.8,415,423.6,423.4447712,185003,13567,78338553,58510,31.63,11.8,4.7,
14-Aug-13,423.6,429.5,419.35,420.15,423.3637941,101453,2960,42951527,23637,23.3,10.15,-3.45,
16-Aug-13,420,425.6,412.6,414.3,417.3621497,115814,3383,48336380,23358,20.17,13,-5.7,
19-Aug-13,414.5,419.4,395.05,400.4,405.7452706,121898,4722,49459537,41675,34.19,24.35,-14.1,
20-Aug-13,398.5,407.2,391.2,401.15,400.1704082,104191,4062,41694155,16932,16.25,16,2.65,
21-Aug-13,405.5,407,391,392.3,397.8666151,78922,3008,31400429,16034,20.32,16,-13.2,
22-Aug-13,391,403.35,390,401.75,397.4096073,107044,3240,42540314,22828,21.33,13.35,10.75,
23-Aug-13,402,404,392.75,396,396.2417041,116895,3865,46318674,38005,32.51,11.25,-6,
